epoch_start,pool,token_id,voter,final_weight,voted_weight,abstained_weight,n_voted,n_abstained,last_event_ts
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,930,0x8efd9addd8de6a4e64664d1893dec51f8c3339e9,18223.198175,18223.198175,0.0,1,0,1727819549
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,939,0x94c7f3a681b8d0612b2c98ba13650ccc629fa121,2721.650566,2721.650566,0.0,1,0,1727857513
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,942,0x69e24369bfeda80348bd5104df01c4d8b33ecff9,21910.88759,21910.88759,0.0,1,0,1727859175
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,962,0x3465d93b84ed7557d42d84cb7c8999fc3db2113d,17291.317666,17291.317666,0.0,1,0,1727719783
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,972,0x4cfe3339e865a38f4f5cd379e837436a6556cec4,17040.255321,17040.255321,0.0,1,0,1727739791
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,1053,0x3216a8a03b07b6b19cbc21d62c8942e625fc3e07,8601.269129,8601.269129,0.0,1,0,1727857509
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,1088,0xb44262a4b5c791ca2a425612694c5f2ae1efad26,6110.610241,6110.610241,0.0,1,0,1727856865
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,1115,0x69449f50f833185dd09b5cd0afa6872d4f92d1e1,6758.514492,6758.514492,0.0,1,0,1727884045
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,1174,0x91f3acf393de794e7291fbf36dfc408da617cff0,14835.954397,14835.954397,0.0,1,0,1727707449
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,1275,0xe0dd8c40acc74005c71ce5d02cd5116a2eedb1b0,7956.948253,7956.948253,0.0,1,0,1727749009
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,1279,0xba977b238297365dceae952e1b42ea64e9b7075d,3011.922162,3011.922162,0.0,1,0,1727880275
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,1356,0x227f2f1b242962f9ef06dcc6ded975f8508d53cd,4881.685017,4881.685017,0.0,1,0,1727818717
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,1392,0x6a0d078799f60c9a4a8c325e07800db05cc4e0ef,9076.241586,9076.241586,0.0,1,0,1727881623
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,1453,0x2c691744f52c7347413747e602bae72f6cdb6df3,0.0,0.0,8288.947722,0,1,1727810975
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,1469,0x8fc4faa9dd274dc801ca629234e83183031634ec,2148.163597,2148.163597,0.0,1,0,1727891615
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,1473,0xb1b4d2c37c3d76eae8c47747de1d7dc782684849,4117.154348,4117.154348,0.0,1,0,1727850769
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,1521,0xdd84ce1adcb3a4908db61a1dfa3353c3974c5a2b,1924.222825,1924.222825,0.0,1,0,1727775837
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,1540,0xfff6eb6fae78e604c93b35c97f6892e36acb1dbd,1885.962704,1885.962704,0.0,1,0,1727742069
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,1579,0x4b8c833e4e6d9ad4154754412d549639b564338c,7791.872188,7791.872188,0.0,1,0,1727859595
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,1619,0x848ac158d4af8a753227ad4e955a6ea3b0cbf480,5943.453129,5943.453129,0.0,1,0,1727877465
2024-09-26,0x04e5a1c883dafd1eae6b11bd6d3eb784d90ce515,1825,0x2f04ed87b5ac8b703565469311341b0b44e315d7,5352.535307,5352.535307,0.0,1,0,1727864725
