snapshot_utc,source,dex,pool_name,pool_address,created_at,fee_tier_pct,tvl_usd,volume_usd_1h,volume_usd_6h,volume_usd_24h,est_fees_24h_usd,trades_24h,vol24_to_tvl,price_change_1h_pct,price_change_24h_pct
2026-08-05 16:42:48,top_pools,aerodrome-slipstream,CADC / USDC 0.05%,0x09da4832d34bebbb55783340d5bede7a70f5c48e,2025-03-13T00:07:51Z,0.05,147495.72,1712.19,25015.31,45006.59,22.5,77,0.3051,-0.193,-0.186
2026-08-05 16:42:48,top_pools,aerodrome-slipstream,ZCHF / USDC 0.05%,0x80891885537e20e240987385490017fc03d9d7ed,2025-08-07T11:20:34Z,0.05,1583894.94,0.0,42473.24,42826.75,21.41,11,0.027,0.0,0.418
2026-08-05 16:42:48,top_pools,aerodrome-slipstream,FLOCK / USDC 0.05%,0xd7338b6f338da54b922bbbc6fbe3efedd5ce35fa,2025-08-27T22:26:53Z,0.05,73205.84,906.26,10767.66,38503.92,19.25,824,0.526,-1.032,3.339
2026-08-05 16:42:48,top_pools,aerodrome-slipstream,PENDLE / WETH 0.05%,0x016df91005f30039c9f1a89b44db5e8c60613603,2024-12-14T06:44:25Z,0.05,134261.11,2597.78,10942.86,37850.56,18.93,569,0.2819,0.765,4.074
2026-08-05 16:42:48,top_pools,aerodrome-slipstream,RIZE / USDC 0.3%,0xea5cb64754ad7aa24f7a6bbe3b724f29b4f822b8,2025-05-09T18:15:23Z,0.3,32867.52,1408.65,8547.97,33695.07,101.09,352,1.0252,-1.635,-3.273
2026-08-05 16:42:48,top_pools,aerodrome-slipstream,SYRUP / WETH 0.27%,0x7432aab631b801a10bef7d70c1507a32755595fa,2025-06-25T22:56:21Z,0.27,21541.39,2393.93,12919.46,31901.9,86.14,776,1.481,0.338,5.229
2026-08-05 16:42:48,top_pools,aerodrome-slipstream,ZRO / ZEN 0.08%,0x82685574957fef6ab359d8c1083401b492dca0cf,2025-07-23T13:35:47Z,0.08,19605.25,1402.01,5870.93,30100.02,24.08,911,1.5353,-0.388,-0.95
2026-08-05 16:42:48,top_pools,aerodrome-slipstream,tBTC / USDC 0.3%,0xf81e1a62cbfa487e807044618661bfd4802b4982,2024-05-14T11:00:35Z,0.3,319863.55,742.9,15674.82,28771.37,86.31,171,0.0899,-0.229,-0.093
2026-08-05 16:42:48,top_pools,aerodrome-slipstream,DRV / WETH 0.3%,0xa0e2bac96ab51c92d3284781aee1eec817f6f9c2,2025-01-14T22:21:39Z,0.3,60345.11,164.7,1272.74,28189.5,84.57,235,0.4671,0.02,1.755
2026-08-05 16:42:48,top_pools,aerodrome-slipstream,LCAP / WETH 0.3%,0x3a88ef38879efb900c2d7b6199d21c139cef5fa7,2025-08-21T16:03:37Z,0.3,422260.51,5953.24,10286.23,26322.72,78.97,123,0.0623,0.785,0.977
2026-08-05 16:42:48,top_pools,aerodrome-slipstream,SAND / WETH 0.3%,0xa69cdf524d072c366fd050957880552916d29405,2025-11-27T09:28:52Z,0.3,193497.71,1039.32,3782.67,24899.03,74.7,703,0.1287,0.653,-0.253
2026-08-05 16:42:48,top_pools,aerodrome-slipstream,LINK / WETH 0.25%,0x72be417afb0abea66913141c605d313bb389b59c,2025-03-20T00:12:50Z,0.25,177325.99,3021.86,8145.04,22594.75,56.49,133,0.1274,0.369,0.074
2026-08-05 16:42:48,top_pools,aerodrome-slipstream,VELVET / WETH 0.3%,0xf579b16f9b1a4acc872d34a8141fbbd36c0ce10c,2025-08-26T15:41:04Z,0.3,4740.24,1643.44,9647.58,21942.3,65.83,1083,4.6289,0.828,16.287
2026-08-05 16:42:48,top_pools,aerodrome-slipstream,TOSHI / WETH 1%,0x74e4c08bb50619b70550733d32b7e60424e9628e,2024-05-06T05:25:02Z,1.0,39221.37,2114.48,8247.12,20270.56,202.71,399,0.5168,-0.145,-0.635
2026-08-05 16:42:48,top_pools,aerodrome-slipstream,ZEN / USDC 0.3%,0xbfa5184f90b071c34c85d065b8c7877617248ef7,2025-10-12T17:06:02Z,0.3,14337.65,975.33,3016.48,20137.06,60.41,433,1.4045,1.129,0.963
2026-08-05 18:59:27,top_pools,aerodrome-slipstream,cbBTC / USDC 0.05%,0x4e962bb3889bf030368f56810a9c96b83cb3e778,2024-09-12T13:56:07Z,0.05,8866973.7,3375272.32,29396429.3,69811258.51,34905.63,36777,7.8732,0.085,0.739
2026-08-05 18:59:27,top_pools,aerodrome-slipstream,WETH / USDC 0.05%,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2024-05-06T05:03:45Z,0.05,11073136.56,3359498.99,20329999.47,43947137.15,21973.57,16783,3.9688,0.02,2.224
2026-08-05 18:59:27,top_pools,aerodrome-slipstream,USDT / USDC 0.01%,0xa41bc0affba7fd420d186b84899d7ab2ac57fcd1,2024-07-24T23:03:23Z,0.01,1428630.94,319359.61,3517730.33,6861279.81,686.13,9704,4.8027,-0.002,-0.036
2026-08-05 18:59:27,top_pools,aerodrome-slipstream,EURC / USDC 0.05%,0xe846373c1a92b167b4e9cd5d8e4d6b1db9e90ec7,2024-08-01T14:10:35Z,0.05,2367697.5,224196.37,2029980.22,5044979.0,2522.49,2328,2.1308,-0.397,0.064
2026-08-05 18:59:27,top_pools,aerodrome-slipstream,USDC / cbBTC 1%,0x3e66e55e97ce60096f74b7c475e8249f2d31a9fb,2025-03-12T06:42:10Z,1.0,5579309.31,134594.81,1671453.3,3778701.77,37787.02,4811,0.6773,0.187,0.403
2026-08-05 18:59:27,top_pools,aerodrome-slipstream,USDT / WETH 0.05%,0x9785ef59e2b499fb741674ecf6faf912df7b3c1b,2024-07-24T23:06:55Z,0.05,749039.12,309559.13,1836212.64,3770217.31,1885.11,5787,5.0334,0.009,-0.058
2026-08-05 18:59:27,top_pools,aerodrome-slipstream,VIRTUAL / WETH 0.05%,0x3f0296bf652e19bca772ec3df08b32732f93014a,2025-01-06T20:15:25Z,0.05,429900.36,160933.07,988561.5,3037557.09,1518.78,8116,7.0657,0.525,2.37
2026-08-05 18:59:27,top_pools,aerodrome-slipstream,EURC / USDC 0.01%,0xc5e51044eb7318950b1afb044fccfb25782c48c1,2024-11-03T01:26:52Z,0.01,146414.32,141818.06,1345880.2,2999298.39,299.93,1527,20.485,-0.368,0.092
2026-08-05 18:59:27,top_pools,aerodrome-slipstream,cbBTC / WETH 0.05%,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,2024-09-12T13:53:26Z,0.05,15001735.77,721982.79,2425894.13,2852185.6,1426.09,799,0.1901,0.104,0.712
