pool_address,pool_name,votes,vote_share,fees_usd,fee_share,ratio,excess_usd,bribes_usd,emissions_day,vol24_usd,tvl_usd,est_trading_fees_24h,vote_delta,vote_delta_pct,unpriced
0x3fe04a59ebd38cf06080a6f60a98d124eb59392a,WETH / USDC 0.05%,107988143.4702,0.10767162321643241,57548.04,0.1650259384875906,1.5326780962136084,20000.66,0.0,63835.85,50750706.8,5161832.9,25375.35,437.38799999654293,0.0004050349950610157,"{""USDC"": 52627.551512}"
0x42d4a22cad0f5a49681a5715ce994af73a43b76b,cbBTC / WETH 0.05%,79692619.6855,0.07945903544749316,41787.48,0.1198306337458482,1.5080806489909224,14078.43,0.0,47081.24,88075510.52,7034873.86,44037.76,-0.31120000779628754,-3.9050040996164266e-07,"{""cbBTC"": 0.647943}"
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH / USDC 0.05%,51393072.9761,0.0512424365453072,31329.24,0.08984037046444956,1.7532415810285504,13459.92,0.0,30357.91,48951724.82,12302665.44,24475.86,1.0626999959349632,2.067788432117208e-06,"{""USDC"": 31718.119743}"
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC / WETH 0.05%,46992095.7805,0.04685435889936157,17920.25,0.051388476031194896,1.0967704443800448,1581.14,0.0,27784.75,3688828.56,17723075.57,1844.41,-69.86809999495745,-0.00014868031517725758,"{""cbBTC"": 0.228793}"
0x4e506648d493c8870f55e870480f92f2f33ece51,AERO / WETH 0.3%,66637865.1065,0.06644254520103407,14634.41,0.0419659339303681,0.6316123773313093,-8535.51,0.0,29331.31,2112577.03,1403008.58,6337.73,-34.32639999687672,-5.1511827787190616e-05,"{""AERO"": 42296.699445}"
0x00145e8fc9f06a0b71bd57fefbf451ec1db9d69f,msUSD / msETH 0.01%,4043381.7009,0.004031530286838036,10701.97,0.030689188422681982,7.612292662881562,9296.09,0.0,2383.07,330660.55,1808678.56,33.07,0.0,0.0,
0xaa5fe7dcc07dcb8b7afcd1b93874e7cb1e0ab50b,EURC / WETH 0.05%,15060736.7698,0.015016592773328577,8326.71,0.023877844184858516,1.5900973373446388,3090.11,0.0,8907.4,2634786.21,746262.6,1317.39,0.0,0.0,
0x8d479a4c680a76d4ae03f10203569558405ddfff,O / USDC 0.008%,29325570.4926,0.029239615343118627,7345.67,0.021064593782344966,0.7204128212754479,-2850.8,0.0,17397.45,610029.71,1898783.78,48.8,0.14460000023245811,4.930850398356185e-07,"{""USDC"": 8057.760246}"
0x3416f5fa0ade2d3de6935d4b204d9fe0b68c0ea6,SERV / WETH,5427776.7247,0.005411867559016733,6308.6,0.018090670603947832,3.3427777761868724,4421.37,0.0,3210.29,82720.56,777970.76,0.0,-34.637500000186265,-0.000638148559130231,
0xa135b59fe221c0c8d441294f97f96fbc37bc9fbe,VVV / WETH 0.3%,21047346.7278,0.020985655589186657,6258.02,0.017945626359718102,0.8551377527116665,-1060.12,0.0,12461.67,1081877.05,703805.55,3245.63,-0.31109999865293503,-1.478096018837698e-06,"{""VVV"": 621.904619}"
0xb5f0b4ae66c14f7efaa9aa1468e8fc536a3e288c,MORPHO / WETH 0.3%,20118835.3327,0.020059865721218793,5936.75,0.017024345925876944,0.8486769633691538,-1058.55,0.0,11897.1,570912.56,748001.57,1712.74,0.0,0.0,"{""MORPHO"": 3101.792026}"
0x4a79b0168296c0ef7b8f314973b82ad406a29f1b,AAVE / WETH 0.3%,6017516.9888,0.005999879256145846,5440.32,0.015600773087542315,2.6001811739064586,3348.04,0.0,3558.46,171091.09,895224.15,513.27,0.0,0.0,
0x7501bc8bb51616f79bfa524e464fb7b41f0b10fb,msUSD / USDC 0.05%,18122144.3675,0.01806902718676435,5126.43,0.014700655692894823,0.8135831299021524,-1174.62,0.0,10714.55,752008.83,1389480.77,376.0,-42.079599998891354,-0.00023219935476177125,"{""USDC"": 4884.962706}"
0xf8f33db251d41942f3b6518e3925df03c8c35f2c,REI / WETH 0.021%,3442664.1853,0.00343257351324517,5012.75,0.014374664595938795,4.187722284889661,3815.74,0.0,2034.62,104592.34,57066.53,21.96,0.0,0.0,
0x9520e1a3bfd86da6c1e9e5ee4b9c2f11c413358f,VIRTUAL / WETH 0.033%,4407250.293,0.004394332356490214,4812.95,0.013801714022646976,3.1407988524724395,3280.55,0.0,2606.4,2145164.15,122345.92,707.9,-5.074900000356138,-0.00011514876213706359,
0x9785ef59e2b499fb741674ecf6faf912df7b3c1b,USDT / WETH 0.05%,11484616.2217,0.011450954066540169,4781.74,0.01371221558724939,1.1974736347355244,788.55,0.0,6791.13,4164229.36,762690.37,2082.11,0.0,0.0,"{""USDT"": 4792.540336}"
0x1131db5977242a03ebead1acd18f80a9a29e5922,SOL / USDC 0.007%,7672986.4964,0.007650496475227758,4738.94,0.013589481430408097,1.776287522569381,2071.05,0.0,4535.52,4510581.48,375685.11,315.74,-22.54190000053495,-0.00029378174700455246,"{""USDC"": 4855.96371}"
0x74f72788f4814d7ff3c49b44684aa98eee140c0e,msETH / WETH 0.05%,6020036.2785,0.0060023911616443075,4183.9,0.011997837355333564,1.998842966449866,2090.74,0.0,3558.21,857997.67,2362763.03,429.0,-42.87349999975413,-0.0007121750215777584,
0xde4fb30ccc2f1210fce2c8ad66410c586c8d1f9a,msETH / WETH,435113.7331,0.00043383838652219183,3847.62,0.011033513937983347,25.432313692737186,3696.33,0.0,104.03,80192.69,13816013.29,0.0,7826.561400000006,1.831686490577598,
0x717e174d5dae280802d1a2c15c1c0976561a3f61,ZRO / WETH 0.055%,3559852.236,0.003549418078166508,3731.61,0.010700841285292738,3.014815682355565,2493.85,0.0,2105.46,306222.1,56924.92,168.42,0.7658000001683831,2.151213348587712e-05,
0x48c5d4a6677ed59646a9c6465db2562be4a20aec,POD / USDC 0.3%,4824454.3013,0.00481031351277761,3655.85,0.010483590357201705,2.1793985629739514,1978.39,0.0,2801.41,199952.27,229400.11,599.86,-0.3110999995842576,-6.448397271365272e-06,"{""USDC"": 3585.410159}"
0x098a4de96305bafaea0c0ce07cf6456e2c64982a,HOME / WETH 0.3%,461926.49,0.0004605725534923581,3240.03,0.0092911764063198,20.173100493870315,3079.42,0.0,273.17,317086.72,72092.71,951.26,0.0,0.0,
0x7c7420dd105e2779316423ba3e973f434315efa9,cbBTC / WETH 0.009%,4812998.2887,0.004798891078493699,3230.9,0.009264995031273983,1.9306533279730385,1557.43,0.0,2851.82,13654218.37,619901.17,1228.88,-1172.0939999995753,-0.024346749425644822,"{""cbBTC"": 0.05053}"
0xcdd442e2de893c07146b2f1072f8e077559f9aa4,BNKR / WETH 0.3%,12538794.4391,0.012502042419199787,3154.98,0.009047285283905039,0.7236645805977135,-1204.75,0.0,7414.88,152736.87,227309.87,458.21,0.0,0.0,
0x3f53f1fd5b7723ddf38d93a584d280b9b94c3111,ZORA / USDC 0.27%,4886676.6615,0.004872353495203462,3054.32,0.00875863060568905,1.7976180534338062,1355.23,0.0,2889.26,530335.66,65428.83,1431.91,-11.909399999305606,-0.000243711049446153,"{""USDC"": 3025.668472}"
0x48be08d21fccf3f793783c23c33555f5e0c2b7cd,TOWNS / WETH 0.019%,2445881.7863,0.002438712748118518,3003.58,0.008613127542181407,3.5318335662232005,2153.15,0.0,1446.58,187174.76,196369.07,35.56,0.0,0.0,
0x222ccbe78890a4d9ef8d22d7fc1b968be0f2c653,BIO / WETH 0.05%,2249737.3074,0.0022431431814101854,2990.59,0.008575877152055978,3.8231519160826037,2208.36,0.0,1330.09,437308.17,256619.45,218.65,-7.939600000157952,-0.00035291106896415423,
0xccfa472815563ff9eb2de95c7b2be1ccf91f7f31,SOL / cbBTC 0.003%,4951250.9204,0.004936738482761654,2928.1,0.008396679547826719,1.7008556513873798,1206.55,0.0,2927.78,3293052.95,429869.0,98.79,57.22620000038296,0.0011558061254484896,"{""cbBTC"": 0.044285}"
0x4e829f8a5213c42535ab84aa40bd4adcce9cba02,BRETT / WETH 1%,3377402.7034,0.0033675033169821705,2668.3,0.007651671745318137,2.2722091190619156,1493.98,0.0,1996.6,143589.43,661310.45,1435.89,-11.90929999994114,-0.00035261587236458695,
0xef7e596aef9e4c6301b4d1f1e88f8ffe8c306222,DRV / WETH 0.8%,3981636.823,0.003969966387180589,2534.2,0.007267123838018671,1.830525281394051,1149.79,0.0,2354.2,47584.2,440357.69,380.67,0.0,0.0,"{""DRV"": 25539.467169}"
0x0abe41c8aaa9282429e06ebed48be36298981d94,RECALL / USDC 0.3%,3859131.7103,0.0038478203449128934,2274.31,0.006521857949666264,1.694948663153842,932.49,0.0,2282.43,167363.06,542299.43,502.09,0.0,0.0,"{""USDC"": 2124.37159}"
0x9e48d016ee76cf53e2de8dc8058c7549c8c202df,HYPE / WETH 0.05%,3463887.5678,0.0034537346886342885,2255.44,0.006467745951077592,1.8726817587818638,1051.05,0.0,2048.52,1222791.17,245279.69,611.4,0.0,0.0,
0x8343c68279587498526114e6385f0a87f248e0d9,LFI / USDC 0.006%,4487305.7835,0.004474153199154311,2243.43,0.006433305829029369,1.437882330503428,683.2,0.0,2653.9,30105.36,128528.54,1.81,68.34159999992698,0.001523021700652185,"{""USDC"": 1984.998487}"
0x0392b12a1ceb0cd13af5ea448cf5586ea609852d,ZEN / WETH 0.15%,2674881.7486,0.0026670414966736503,2223.75,0.006376871057846271,2.390990566063386,1293.7,0.0,1580.98,336020.2,1768118.85,504.03,-19.848900000099093,-0.0007420422500270719,"{""ZEN"": 716.47278}"
0x3f0296bf652e19bca772ec3df08b32732f93014a,VIRTUAL / WETH 0.05%,2041103.4768,0.0020351208701018773,2077.38,0.005957137447171979,2.927166407995102,1367.69,0.0,1207.0,3051166.07,429164.74,1525.58,0.0,0.0,
0x01784ef301d79e4b2df3a21ad9a536d4cf09a5ce,VVV / WETH,14596569.9994,0.0145537865058434,2071.77,0.005941050096240211,0.40821336041001133,-3003.44,0.0,8631.46,520062.16,9316250.51,0.0,-5.557600000873208,-3.807468388164497e-05,"{""VVV"": 193.803591}"
0x0e4409f7a8eba3213f336daf608985302e79328c,TIBBIR / WETH 0.25%,4302583.2676,0.004289972116931475,2038.4,0.005845357600590822,1.362563075298466,542.4,0.0,2549.85,334130.35,238782.3,835.33,0.0,0.0,"{""TIBBIR"": 18547.406766}"
0xb862f23ba38c8c65e256782b31e8c08c9aefd612,cbADA / WETH 0.25%,780529.4151,0.0007782416327509248,2001.0,0.0057381085943790395,7.373170944473891,1729.61,0.0,459.99,193578.67,52624.17,483.95,0.0,0.0,"{""cbADA"": 10002.781295}"
0xadb8fb846dbd3bd6a23335cee65bb610c1cf0ea3,ZORA / WETH 0.05%,1689381.8198,0.0016844301320949418,1999.68,0.005734323335336271,3.4043105891275163,1412.28,0.0,999.04,144142.15,36348.61,72.07,0.0,0.0,
